yolov3-voc
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
384
Loaded: 0.000029 seconds
Region 82 Avg IOU: 0.212167, Class: 0.344804, Obj: 0.460471, No Obj: 0.473428, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.496016, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469109, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.233846, Class: 0.275687, Obj: 0.562279, No Obj: 0.474589, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495141, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470184, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.138446, Class: 0.270985, Obj: 0.734645, No Obj: 0.474123, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.494428, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470553, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.167760, Class: 0.338780, Obj: 0.558493, No Obj: 0.476333, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495866, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469048, .5R: -nan, .75R: -nan,  count: 0
4: 804.319275, 803.069336 avg, 0.000000 rate, 3.720630 seconds, 256 images
Loaded: 0.000034 seconds
Region 82 Avg IOU: 0.249373, Class: 0.243301, Obj: 0.528275, No Obj: 0.474979, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495777, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469982, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.223000, Class: 0.412037, Obj: 0.708122, No Obj: 0.474112, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.494666, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470338, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.052757, Class: 0.363948, Obj: 0.329908, No Obj: 0.474509, .5R: 0.000000, .75R: 0.000000,  count: 4
